block,seed,baseline_executed_candidates,facet_executed_candidates,difference_executed_candidates,baseline_unique_trace_digests,facet_unique_trace_digests,difference_unique_trace_digests,baseline_unique_trace_ratio,facet_unique_trace_ratio,difference_unique_trace_ratio,baseline_rare_classes_reached,facet_rare_classes_reached,difference_rare_classes_reached,baseline_raw_model_states,facet_raw_model_states,difference_raw_model_states,baseline_semantic_states,facet_semantic_states,difference_semantic_states,baseline_semantic_transitions,facet_semantic_transitions,difference_semantic_transitions,baseline_unique_model_state_paths,facet_unique_model_state_paths,difference_unique_model_state_paths,baseline_failure_detected,facet_failure_detected,difference_failure_detected,baseline_failure_candidate_ordinal,facet_failure_candidate_ordinal,difference_failure_candidate_ordinal,baseline_queue_exhausted,facet_queue_exhausted
heldout-closed-tree,418473828227667117,50.0,22.0,-28.0,50.0,22.0,-28.0,1.0,1.0,0.0,0.0,0.0,0.0,188.0,119.0,-69.0,185.0,114.0,-71.0,239.0,144.0,-95.0,33.0,17.0,-16.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
heldout-closed-tree,825097919939804635,64.0,30.0,-34.0,64.0,30.0,-34.0,1.0,1.0,0.0,0.0,0.0,0.0,325.0,153.0,-172.0,277.0,133.0,-144.0,393.0,183.0,-210.0,40.0,18.0,-22.0,0.0,0.0,0.0,129.0,129.0,0.0,False,True
heldout-closed-tree,1032517847817231170,18.0,22.0,4.0,18.0,22.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,104.0,106.0,2.0,104.0,106.0,2.0,128.0,130.0,2.0,10.0,11.0,1.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
heldout-closed-tree,1084788547682977977,28.0,30.0,2.0,28.0,30.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,142.0,145.0,3.0,127.0,129.0,2.0,164.0,173.0,9.0,13.0,16.0,3.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
heldout-closed-tree,1235846154754625999,64.0,38.0,-26.0,64.0,31.0,-33.0,1.0,0.8157894736842105,-0.1842105263157895,0.0,0.0,0.0,312.0,123.0,-189.0,257.0,116.0,-141.0,372.0,151.0,-221.0,46.0,18.0,-28.0,0.0,0.0,0.0,129.0,129.0,0.0,False,True
heldout-closed-tree,1286863238667992368,30.0,30.0,0.0,30.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,126.0,118.0,-8.0,126.0,118.0,-8.0,155.0,147.0,-8.0,20.0,20.0,0.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
heldout-closed-tree,1730231285957079546,22.0,42.0,20.0,22.0,42.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,96.0,146.0,50.0,96.0,144.0,48.0,127.0,195.0,68.0,13.0,25.0,12.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
heldout-closed-tree,3750190362025633128,64.0,24.0,-40.0,64.0,23.0,-41.0,1.0,0.9583333333333334,-0.04166666666666663,0.0,0.0,0.0,383.0,127.0,-256.0,300.0,122.0,-178.0,457.0,159.0,-298.0,48.0,15.0,-33.0,0.0,0.0,0.0,129.0,129.0,0.0,False,True
heldout-closed-tree,3961371642060324897,38.0,50.0,12.0,38.0,50.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,194.0,206.0,12.0,179.0,186.0,7.0,239.0,260.0,21.0,19.0,26.0,7.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
heldout-closed-tree,4120408576676485977,44.0,36.0,-8.0,44.0,36.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,198.0,147.0,-51.0,179.0,144.0,-35.0,245.0,185.0,-60.0,27.0,18.0,-9.0,0.0,0.0,0.0,129.0,129.0,0.0,True,True
